Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis331,858,422,1899,855,566,699
Spis332,1368,727,3468,1591,979,1256
Spis333,980,513,2285,1215,693,840
Spis334,488,253,1300,468,282,468
Spis335,1526,712,3584,1499,978,1284
Spis336,845,556,2242,1107,630,842
Spis337,1211,510,3191,1178,616,1053
Spis338,899,470,2051,1046,674,803
Spis339.t1,29,24,109,41,11,43
Spis340,927,477,2535,1027,600,899
Spis341.t1,208,146,525,263,152,223
Spis342,972,584,5034,1126,818,1668
Spis343,1023,465,2886,1205,615,1030
Spis344,924,503,2109,909,568,785
Spis345,1305,867,2964,1821,1088,1221
Spis346,522,325,1261,596,384,447
Spis347,2319,1231,4080,3219,1947,1669
Spis348,569,339,1545,766,427,538
Spis349,475,238,950,592,341,524
Spis350,1500,844,3713,1441,779,1069
Spis351,1267,532,2648,1286,762,929
Spis352,3022,1565,8308,3340,1929,2985
Spis353,1389,734,3406,1457,825,1201
Spis354,444,229,1105,446,258,459
Spis355,1312,654,3683,1361,842,1229
Spis356,1257,643,3375,1372,819,1266
Spis357,1118,687,2948,1395,847,1106
Spis358,6605,3764,12590,5774,4556,7863
Spis359,1481,942,4033,1658,1034,1610
Spis360,741,548,1486,829,594,635
Spis361,2050,1118,6340,2192,1351,1908
Spis362,1181,580,3085,1412,855,1163
Spis363,363,227,902,400,225,374
Spis364,503,263,1137,490,321,506
Spis365,937,492,2591,842,565,856
Spis366,1563,760,4391,1578,997,1541
Spis367,382,229,808,355,228,330
Spis368,1213,632,3557,1315,855,1423
Spis369,10899,5558,18456,14201,7727,6752
Spis370,773,484,1962,881,564,698
Spis371,1154,646,2594,1492,860,990
Spis372,1293,663,3309,1369,860,1196
Spis373,1185,580,3150,1310,728,1087
Spis374,227,161,582,90,67,69
Spis375,2130,928,4174,2343,1382,1637
Spis376,4479,1711,9940,4117,2362,3300
Spis377,738,398,2104,883,531,676
Spis378,1012,461,2408,1145,732,826
Spis379,1167,517,3061,1504,869,1011
Spis380,1660,863,3317,1522,1015,1182
Spis381,517,222,1352,640,447,618
Spis382.t1,90,60,268,88,70,81
Spis383.t1,40,22,110,53,42,39
Spis384,458,290,1024,458,292,338
Spis385,598,255,916,397,251,397
Spis386,1315,665,3008,1474,793,894
Spis387,1145,560,2812,1348,763,963
Spis389,328,159,900,396,221,316
Spis391,935,512,2278,980,592,834
Spis392,2330,1149,5316,2414,1360,1898
Spis393,982,535,2395,1253,728,1063
Spis394,992,431,1541,1050,658,740
Spis395,1009,573,2240,1143,736,838
Spis396,4093,2471,6736,3002,2627,4573
Spis397,879,385,1850,968,614,831
Spis398,2087,1027,5314,2727,1528,1895
Spis399,911,583,3740,1040,697,1109
Spis400,1579,773,3315,1878,1099,1256
Spis401.t1,222,76,404,200,114,142
Spis402,1467,760,3898,1499,991,1461
Spis403.t1,120,66,287,121,66,106
Spis404,755,332,964,475,297,454
Spis405,2172,1259,5451,2961,1721,2033
Spis406,1485,622,4162,1599,1017,1398
Spis407,745,379,1948,806,440,739
Spis408,1412,664,3436,1239,808,1192
Spis409,555,352,1729,645,398,618
Spis410,977,509,2497,1283,746,976
Spis411,874,444,1709,748,499,628
Spis412,2137,1311,4846,2653,1466,1788
Spis413,1502,772,3985,1763,1068,1375
Spis414,1317,897,3597,872,553,731
Spis415.t1,21,16,79,19,11,25
Spis416,946,512,1993,980,633,788
Spis417,3644,2202,7097,2988,2269,4147
Spis418,1773,745,3968,1699,978,1267
Spis419,2064,1280,3560,1460,1384,2135
Spis420,612,408,1060,529,411,436
Spis421,1760,967,4660,2369,1315,1545
Spis422,620,383,1755,756,488,611
Spis423,1210,513,2899,1324,749,1145
Spis424,685,275,1274,771,449,503
Spis425,2358,1380,5399,2155,1569,2464
Spis427.t1,349,125,860,309,202,309
Spis428,727,429,2015,931,521,724
Spis429,1012,450,2272,974,501,845
Spis430,423,213,1193,494,320,434
Spis431,897,458,2303,1085,650,843
