Gene,AJ2,AJ3,AJ4,AN2,AN3,AN4
Spis10400,71,37,185,112,34,54
Spis10401,1,0,1,0,0,0
Spis10402,65,26,141,59,38,62
Spis10403,76,65,194,52,60,95
Spis10404,97,60,213,113,84,90
Spis10405,31,16,47,20,24,27
Spis10406,58,37,135,63,47,62
Spis10407,139,43,228,105,64,84
Spis10408,28,11,50,16,25,20
Spis10409,53,35,118,65,26,37
Spis10410,59,23,117,44,38,38
Spis10411,3,1,3,5,2,3
Spis10412,44,26,105,33,29,35
Spis10413,1,0,0,0,0,0
Spis10414,77,37,184,85,40,68
Spis10415,129,102,471,220,114,165
Spis10416,216,74,613,262,152,234
Spis10417,111,84,332,161,74,120
Spis10418,6,5,12,11,7,8
Spis10419,81,44,166,70,44,49
Spis10420,8,6,25,13,6,11
Spis10421,78,41,203,69,32,71
Spis10422,156,83,585,183,104,190
Spis10423,71,66,88,61,64,35
Spis10424,27,38,55,28,22,13
Spis10425,11,4,6,7,7,5
Spis10426,11,8,11,5,9,4
Spis10427,10,7,34,15,8,12
Spis10428.t1,32,13,14,20,13,11
Spis10429,16,9,17,4,11,13
Spis10430,43,14,77,41,29,31
Spis10431,14,7,7,11,2,1
Spis10432,13,4,19,17,12,4
Spis10433,72,33,62,42,27,42
Spis10434,0,0,0,0,0,0
Spis10435,88,47,128,71,54,57
Spis10436,24,14,35,27,9,14
Spis10437,21,38,102,50,33,38
Spis10438,2,3,0,0,1,0
Spis10439,4,0,3,0,4,0
Spis10440,1,0,6,2,1,0
Spis10441,168,82,396,180,83,174
Spis10442,125,65,229,103,67,87
Spis10443,21,12,61,27,9,18
Spis10444,145,84,453,179,118,188
Spis10445.t1,60,43,341,51,56,121
Spis10446,126,54,395,171,110,131
Spis10447.t1,75,35,144,84,54,53
Spis10448,5,4,17,6,10,4
Spis10449,18,15,51,21,16,13
Spis10450,25,22,55,35,16,16
Spis10451,11,3,18,11,11,3
Spis10452,52,40,112,55,35,55
Spis10453,56,43,152,108,54,49
Spis10454,44,34,98,77,45,30
Spis10455,19,16,36,35,25,21
Spis10456,0,0,7,3,1,2
Spis10457,3,3,7,3,1,1
Spis10458,2,0,1,1,0,0
Spis10459,55,26,114,22,16,35
Spis10460,6,3,6,4,5,4
Spis10461,2,2,4,2,4,1
Spis10462,6,6,6,7,8,2
Spis10463,5,6,5,5,5,0
Spis10464,58,49,236,77,56,79
Spis10465,100,69,202,109,82,57
Spis10466,6,4,5,6,9,4
Spis10467,2,3,3,5,4,1
Spis10468,3,1,5,2,0,0
Spis10469,0,0,0,0,0,2
Spis10470,29,12,94,60,42,34
Spis10471,0,0,0,0,6,1
Spis10472,361,149,957,7,8,9
Spis10473,1,1,3,5,1,3
Spis10474,4,4,20,22,15,15
Spis10475,25,14,29,36,11,9
Spis10476,4,3,3,3,4,1
Spis10477,385,265,1586,528,363,524
Spis10478,15,4,21,12,8,8
Spis10479,198,90,598,229,125,156
Spis10480,25,11,23,32,16,20
Spis10481,34,14,62,36,28,31
Spis10482,17,15,44,18,7,22
Spis10483,119,67,284,129,74,98
Spis10484,1,2,15,2,5,8
Spis10485,0,4,58,3,2,21
Spis10486,16,10,39,20,10,10
Spis10487,0,1,5,0,2,0
Spis10488,42,29,121,49,20,42
Spis10489,0,0,0,0,0,0
Spis10490,0,0,0,0,1,0
Spis10491,2,1,3,0,0,2
Spis10492,2,1,6,2,1,0
Spis10493,10,8,24,9,18,20
Spis10494,3,3,21,12,6,14
Spis10495,2,1,0,1,0,1
Spis10496,0,1,9,1,2,5
Spis10497,14,2,16,9,12,9
Spis10498.t1,90,61,166,72,64,66
Spis10499,330,146,693,338,197,239
Spis10500,83,45,223,116,71,88
Spis10501,13,11,22,16,17,6
Spis10502.t1,88,53,224,90,38,85
Spis10503,57,18,57,34,19,26
Spis10504,121,99,250,141,104,125
Spis10505.t2,52,41,140,75,57,46
Spis10506,148,90,354,178,117,158
Spis10507.t2,24,18,86,39,15,57
Spis10508,56,13,137,78,41,39
Spis10509,26,5,40,13,9,12
Spis10510,25,15,81,28,17,29
Spis10511,528,206,1349,453,252,414
Spis10512,0,0,2,0,0,1
Spis10513,0,0,1,0,0,0
Spis10514,7,10,6,5,4,3
Spis10515,42,36,101,41,21,25
Spis10516,11,6,18,12,5,2
Spis10517,287,163,832,338,216,248
Spis10518,0,0,0,0,0,0
Spis10519,0,1,4,0,0,3
Spis10520,0,0,1,0,0,1
Spis10521,0,0,1,2,3,2
Spis10522,0,4,13,3,2,6
Spis10523,2,7,22,3,11,5
Spis10524,2,2,8,1,2,5
Spis10525,8,2,14,6,4,4
Spis10526,1,2,2,2,0,2
Spis10527,0,1,0,1,1,0
Spis10528,3,2,0,2,6,2
Spis10529,0,2,2,0,1,0
Spis10530,2,3,3,7,4,4
Spis10531,41,22,81,52,30,27
Spis10532,133,89,351,122,93,107
Spis10533,115,55,415,152,69,122
Spis10534,113,52,283,118,89,128
Spis10535,279,126,568,229,140,214
Spis10536.t1,104,57,283,123,69,122
Spis10537,29,22,125,37,20,36
Spis10538,0,2,0,2,0,1
Spis10539,20,8,38,19,10,17
Spis10540,361,204,1089,488,270,336
Spis10541,284,185,693,300,166,254
Spis10542,44,24,103,26,26,58
Spis10543,45,24,54,27,21,18
Spis10544,1,0,0,0,0,0
Spis10545,0,0,0,0,0,0
Spis10546,0,1,0,2,1,0
Spis10547,101,78,262,125,67,75
Spis10548,0,0,2,0,1,0
Spis10549,173,84,450,179,102,143
Spis10550,154,90,463,252,112,132
Spis10551,78,57,224,83,70,86
Spis10552,44,20,117,53,28,43
Spis10553,3,5,10,4,3,8
Spis10554,13,6,31,17,6,13
Spis10555,86,81,242,149,94,89
Spis10556,14,8,28,5,5,20
Spis10557,63,21,80,38,15,50
Spis10558,246,101,779,322,172,227
Spis10559,0,0,0,0,0,0
Spis10560,7,5,13,6,1,6
Spis10561,11,11,36,23,7,18
Spis10562,33,19,71,43,44,55
Spis10563,12,2,19,14,10,9
Spis10564.t1,64,11,103,62,48,54
Spis10565,7,3,22,9,10,13
Spis10566,0,0,0,0,0,0
Spis10567,11,3,20,66,28,33
Spis10568,2,3,5,4,0,1
Spis10569,18,10,33,24,16,13
Spis10570,21,10,33,18,3,13
Spis10571,53,13,77,37,20,32
Spis10572,146,24,183,52,44,72
Spis10573,16,3,20,4,8,13
Spis10574,9,4,25,7,3,10
Spis10575,4,1,6,3,6,1
Spis10576,27,7,68,27,28,25
Spis10577,1,2,4,1,3,0
Spis10578,150,83,263,216,94,118
Spis10579,11,3,14,8,7,8
Spis10580,8,5,148,13,7,47
Spis10581.t1,213,86,704,327,187,230
Spis10582,36,11,117,65,28,43
Spis10583,16,6,48,7,9,15
Spis10584,146,97,488,178,115,194
Spis10585,127,56,214,101,77,94
Spis10586,0,0,4,0,1,0
Spis10587,1,0,2,0,0,0
Spis10588,40,32,206,52,28,36
Spis10589,0,0,0,0,0,0
Spis10590,18,12,65,11,2,21
Spis10591,51,38,90,84,44,42
Spis10592,14,7,18,16,5,7
Spis10593,12,13,53,31,20,17
Spis10594,37,26,95,36,38,48
Spis10595,91,37,260,92,49,60
Spis10596,11,7,52,24,7,23
Spis10597,130,45,260,145,62,110
Spis10598,0,0,0,0,0,0
Spis10599,154,81,388,170,101,163
Spis10600,222,121,581,300,167,198
Spis10601,2,5,13,4,2,8
Spis10602,130,56,301,114,69,101
Spis10603,550,246,1567,721,380,571
Spis10604,43,32,146,60,39,67
Spis10605,4,2,25,9,5,8
Spis10606,3,0,3,5,0,2
Spis10607.t1,379,151,1043,520,304,274
Spis10608,45,30,182,39,21,53
Spis10609,444,227,882,463,282,328
Spis10610,53,20,255,69,38,82
Spis10611,279,132,601,125,114,183
Spis10612,202,112,246,161,115,132
Spis10613,58,47,165,147,79,105
Spis10614,215,121,386,180,124,138
Spis10615,27,10,63,51,25,41
Spis10616,3,3,7,6,3,5
Spis10617,22,10,42,15,9,17
Spis10618,1,0,3,0,0,0
Spis10619,1,2,4,0,0,5
Spis10620,3,6,10,8,3,4
Spis10621,6,6,19,15,10,12
Spis10622,0,1,0,0,1,0
Spis10623,1,1,0,0,0,1
Spis10624,16,13,40,25,14,24
Spis10625,2,1,4,4,2,0
Spis10626,42,27,56,56,34,17
Spis10627,15,12,47,33,14,14
Spis10628,7,8,13,13,1,7
Spis10629,199,128,472,195,95,161
Spis10630,50,23,84,51,53,46
Spis10631,8,14,20,14,13,5
Spis10632,0,1,10,2,2,0
Spis10633,1,0,1,1,1,0
Spis10634,0,2,6,1,4,1
Spis10635,27,23,49,32,31,25
Spis10636,2,7,13,3,5,6
Spis10637,1,0,1,3,0,0
Spis10638,0,0,0,0,0,0
Spis10639,7,7,23,16,15,15
Spis10640,31,26,85,28,18,22
Spis10641,17,11,41,22,19,19
Spis10642,0,2,0,0,1,0
Spis10643,0,0,0,0,0,0
Spis10644,108,67,254,111,74,91
Spis10645,11,8,40,14,15,15
Spis10646,27,20,109,47,35,45
Spis10647,17,13,30,14,8,10
Spis10648,93,49,233,72,37,62
Spis10649,87,54,376,118,77,134
Spis10650,14,7,42,18,8,23
Spis10651,110,71,175,83,66,65
Spis10652,153,70,269,126,91,105
Spis10653,54,42,220,96,42,65
Spis10654,21,16,65,31,25,27
Spis10655,44,21,91,50,23,29
Spis10656,284,138,548,226,141,263
Spis10657,21,16,58,39,17,19
Spis10658.t1,836,432,1720,964,580,680
Spis10659,393,202,772,432,304,254
Spis10660,19,40,1041,39,56,315
Spis10661,35,11,51,47,26,39
Spis10662,20,7,28,11,11,25
Spis10663,24,12,37,37,23,28
Spis10664,44,32,159,61,43,76
Spis10665,15,3,15,9,6,14
Spis10666,9,4,26,4,12,9
Spis10667,29,20,59,13,18,35
Spis10668,0,0,1,0,0,0
Spis10669,183,76,394,174,82,131
Spis10670,6,2,7,3,4,3
Spis10671,680,349,1448,708,463,533
Spis10672,75,35,156,62,35,69
Spis10673,31,14,56,15,15,13
Spis10674,1473,952,3490,1176,698,1348
Spis10675,87,33,209,90,50,87
Spis10676,4,5,15,12,5,10
Spis10677,33,13,53,40,27,47
Spis10678,131,61,338,137,71,128
Spis10679,136,85,391,137,62,106
Spis10680,23,15,149,41,24,65
Spis10681,296,226,806,631,313,319
Spis10682,27,11,71,20,23,31
Spis10683,85,47,163,76,32,67
Spis10684,70,32,158,74,39,69
Spis10685,28,17,89,39,32,41
Spis10686,357,232,896,532,306,377
Spis10687,211,124,623,230,124,283
Spis10688.t1,44,22,126,61,39,24
Spis10689,6,6,14,2,4,5
Spis10690.t1,193,101,616,193,157,192
Spis10691,134,63,185,110,57,90
Spis10692,86,66,264,118,67,92
Spis10693,16,2,18,17,5,8
Spis10694,3,0,0,0,0,0
Spis10695,1,0,0,0,0,0
Spis10696.t1,52,21,62,56,31,32
Spis10697,7,2,13,6,4,9
Spis10698,68,38,141,61,44,69
Spis10699,104,34,296,75,61,95
Spis10700,33,15,61,33,5,14
Spis10701,36,26,95,49,35,45
Spis10702,255,103,506,188,125,148
Spis10703,1,0,0,1,0,0
Spis10704,14,8,30,13,10,26
Spis10705,21,15,30,27,14,18
Spis10706,34,19,81,60,28,51
Spis10707,18,17,36,31,21,33
Spis10708,1,1,5,5,2,1
Spis10709,33,10,24,14,7,7
Spis10710,218,96,548,187,107,175
Spis10711.t1,234,144,931,313,176,262
Spis10712,429,276,1358,340,222,381
Spis10713,348,197,871,458,260,323
Spis10714,94,46,327,98,61,144
Spis10715.t1,45,23,138,53,35,40
Spis10716,56,34,148,65,28,45
Spis10717,10,4,28,8,5,10
Spis10718,5,6,7,1,0,8
Spis10719,25,11,23,15,32,7
Spis10720,108,75,209,125,88,122
Spis10721,36,15,99,42,27,32
Spis10722,228,163,474,222,136,167
Spis10723,110,47,343,96,51,100
Spis10724,951,394,2421,843,567,798
Spis10725,25,21,49,37,28,37
Spis10726.t1,81,64,211,117,59,70
Spis10727,112,42,339,81,70,93
Spis10728,527,146,1255,516,283,407
Spis10729,308,233,934,432,277,338
Spis10730,6,7,15,2,2,2
Spis10731,86,30,328,126,77,86
Spis10732.t1,148,106,439,240,139,154
Spis10733,4,1,10,6,2,4
Spis10734,23,8,23,17,12,11
Spis10735,39,21,117,72,64,112
Spis10736,92,69,293,84,47,92
Spis10737,101,42,382,165,79,103
Spis10738,309,167,824,388,240,302
Spis10739,1,2,34,0,2,6
Spis10740,4,0,22,0,5,6
Spis10741,8,11,31,24,19,17
Spis10742,2,3,13,3,2,4
Spis10743,0,0,0,1,0,0
Spis10744,0,0,7,1,2,1
Spis10745,26,19,65,31,33,25
Spis10746,5,4,27,12,6,7
Spis10747,18,9,51,32,19,11
Spis10748,77,45,201,92,43,88
Spis10749,86,42,291,110,74,102
Spis10750,13,11,17,13,11,2
Spis10751,15,5,16,6,6,2
Spis10752,48,47,164,76,46,72
Spis10753,2,2,5,11,8,1
Spis10754,50,13,54,28,16,18
Spis10755,67,8,92,68,34,38
Spis10756,1444,1001,2758,1214,941,1779
Spis10757,34,17,78,32,19,17
Spis10758,9,9,24,7,5,6
Spis10759,653,363,1791,767,524,633
Spis10760,161,113,468,111,97,191
Spis10761,62,41,109,91,41,44
Spis10762,150,70,323,132,105,114
Spis10763,5,4,13,5,3,5
Spis10764,107,65,498,166,114,153
Spis10765,1,0,1,7,1,4
Spis10766,304,144,808,319,213,228
Spis10767,102,38,239,121,69,99
Spis10768,152,92,376,193,115,125
Spis10769,53,41,123,43,22,48
Spis10770.t1,176,95,295,131,98,173
Spis10771,355,148,672,284,188,244
Spis10772,4,5,16,4,4,3
Spis10773,0,0,3,1,1,3
Spis10774,1,1,15,5,0,6
Spis10775,0,0,0,1,0,0
Spis10776,41,23,109,28,32,38
Spis10777,0,1,16,0,0,10
Spis10778,281,144,694,388,220,319
Spis10779,17,6,25,5,4,9
Spis10780,1,1,6,1,0,0
Spis10781,14,14,28,15,17,17
Spis10782,6,7,9,4,0,1
Spis10783,3,1,15,0,0,4
Spis10784,108,77,297,156,73,106
Spis10785,71,66,203,103,58,106
Spis10786,33,25,97,50,26,31
Spis10787,18,15,21,12,9,6
Spis10788,133,85,511,261,127,157
Spis10789,117,60,331,92,87,108
Spis10790,70,28,176,48,49,52
Spis10791,186,80,335,207,141,93
Spis10792,100,25,113,67,42,75
Spis10793,4,11,20,13,12,8
Spis10794,1,1,0,0,0,2
Spis10795,0,0,0,0,0,0
Spis10796,3,3,10,6,4,4
Spis10797,32,18,84,19,17,31
Spis10798,57,9,19,6,11,5
Spis10799,1019,449,2503,564,296,494
Spis10800,5,8,18,11,3,5
Spis10801,1,0,0,0,0,0
Spis10802,14,1,5,1,2,3
Spis10803,292,59,490,149,111,117
Spis10804,94,43,214,108,56,82
Spis10805,5,8,21,8,10,19
Spis10806,15,3,15,2,3,5
Spis10807,171,80,434,219,128,135
Spis10808,299,129,589,254,159,227
Spis10809,7,25,453,17,28,145
Spis10810.t1,94,59,269,144,81,101
Spis10811,209,127,638,224,144,154
Spis10812.t1,296,193,770,324,256,232
Spis10813,16,1,2,0,0,0
Spis10814,5,3,14,4,3,5
Spis10815,102,46,284,76,33,72
Spis10816,5,7,40,8,6,8
Spis10817,0,0,2,2,1,1
Spis10818,3,1,0,0,2,0
Spis10819,462,235,1000,679,363,358
Spis10820,520,183,966,631,346,353
Spis10821,0,0,1,0,0,0
Spis10822,282,167,783,304,219,266
Spis10823,120,68,261,124,116,112
Spis10824,44,18,113,83,58,54
Spis10825,75,48,183,76,54,55
Spis10826,40,11,42,106,59,110
Spis10827,17,7,46,65,37,33
Spis10828,42,16,72,51,27,35
Spis10829,1,0,5,1,0,3
Spis10830,4,3,18,3,2,3
Spis10831,1,0,12,0,0,1
Spis10832,0,4,4,0,1,1
Spis10833,3,6,2,6,5,7
Spis10834,93,101,454,132,98,168
Spis10835,18,9,27,25,15,25
Spis10836,0,2,0,3,1,2
Spis10837,42,21,62,21,27,31
Spis10838,1,2,5,2,1,1
Spis10839,44,29,88,45,32,52
Spis10840,106,60,453,151,82,147
Spis10841.t1,104,59,259,125,89,109
Spis10842,329,149,530,283,170,200
Spis10843,0,0,65,4,3,38
Spis10844,72,32,183,39,32,73
Spis10845,295,146,699,460,355,500
Spis10846,161,81,403,155,114,139
Spis10847,0,1,3,0,2,0
Spis10848,3,5,6,8,6,5
Spis10849,0,1,0,0,0,1
Spis10850,3,6,15,8,5,3
Spis10851,502,360,1046,848,495,464
Spis10852,143,134,372,196,139,145
Spis10853,70,50,189,110,56,66
Spis10854,7,10,11,15,17,6
Spis10855,62,22,82,67,30,28
Spis10856,77,58,271,99,67,112
Spis10857,46,25,129,62,45,52
Spis10858,40,31,138,47,28,56
Spis10859,21,11,32,13,6,14
Spis10860,17,18,29,10,7,13
Spis10861,17,10,55,16,19,16
Spis10862,68,30,147,73,43,67
Spis10863,84,28,184,79,42,75
Spis10864,192,64,520,145,102,155
Spis10866.t1,2,7,31,10,6,14
Spis10867,19,15,55,25,6,22
Spis10868,472,263,1713,503,330,670
Spis10869,24,25,133,25,24,48
Spis10870,12,3,6,11,6,1
Spis10871,36,43,25,35,38,6
Spis10872,25,35,1,30,50,1
Spis10873,58,64,22,66,89,9
Spis10874,23,36,5,31,32,10
Spis10875,0,0,21,4,1,1
Spis10876,8,10,28,8,5,20
Spis10877,200,124,500,195,151,180
Spis10878,95,71,212,145,81,86
Spis10879,64,40,104,66,45,69
Spis10880,36,34,138,66,29,57
Spis10881,450,173,1177,551,316,511
Spis10882,36,41,20,28,48,9
Spis10883,31,36,8,39,36,4
Spis10884,28,23,12,28,29,5
Spis10885,176,100,459,190,109,169
Spis10886,22,10,66,20,17,23
Spis10887,11,6,26,8,5,5
Spis10888,4,3,24,14,8,9
Spis10889,6,0,10,1,3,4
Spis10890,26,4,37,21,7,16
Spis10891,31,18,82,29,18,35
Spis10892,7,6,5,15,0,6
Spis10893,30,11,110,42,17,26
Spis10894,0,0,1,1,0,0
Spis10895,23,9,64,30,11,20
Spis10896,7,1,8,4,2,3
Spis10897,0,0,1,1,0,0
Spis10898,5,1,4,1,0,2
Spis10899,23,4,31,15,8,20
Spis10900,121,72,275,78,39,114
Spis10901,15,17,21,17,7,18
Spis10902,355,142,858,430,190,297
Spis10903,175,69,364,129,78,112
Spis10904,15,3,13,7,4,4
Spis10905,21,16,118,25,12,64
Spis10906,75,37,116,73,44,56
Spis10907,10,5,28,17,10,14
Spis10908,11,8,10,5,0,5
Spis10909,34,29,94,57,30,25
Spis10910,66,24,141,48,31,50
Spis10911,8,18,325,8,21,117
Spis10912,186,48,404,165,130,158
Spis10913,119,75,317,97,82,127
Spis10914,722,398,2008,633,409,704
Spis10915,3,2,5,4,3,4
Spis10916,14,6,34,11,10,20
Spis10917,0,1,5,0,1,2
Spis10918,48,31,113,41,30,43
Spis10919,70,30,227,79,46,78
Spis10920,2,1,11,4,2,3
Spis10921,0,0,0,0,0,0
Spis10922,0,0,0,0,3,0
Spis10923,216,149,445,240,167,165
Spis10924,111,72,239,71,40,76
Spis10925,65,31,88,61,33,37
Spis10926,18,7,46,19,19,11
Spis10927,35,15,76,39,25,29
Spis10928,53,30,180,45,45,77
Spis10929.t3,161,96,382,162,135,193
Spis10930.t1,109,86,261,147,98,98
Spis10931,36,25,102,53,36,49
Spis10932,0,0,0,0,0,0
Spis10933,62,18,98,33,17,51
Spis10934,4,0,2,2,1,2
Spis10935,177,88,477,173,112,139
Spis10936,47,44,149,48,33,58
Spis10937,68,22,154,27,32,31
Spis10938,3,4,18,8,3,6
Spis10939,22,15,23,11,11,15
Spis10940,36,15,92,28,23,30
Spis10941,169,130,497,154,89,127
Spis10942,239,166,680,184,148,363
Spis10943.t1,80,59,181,93,64,74
Spis10944,479,263,1167,553,312,392
Spis10945,142,60,420,118,95,122
Spis10946,13,12,42,9,14,24
Spis10947,10,21,311,25,32,89
Spis10948,218,153,793,317,220,238
Spis10949,17,10,63,26,3,17
Spis10950,24,11,46,23,15,14
Spis10951,33,22,60,35,16,27
Spis10952,31,16,90,30,18,15
Spis10953,78,42,222,102,58,79
Spis10954,14,12,32,13,17,20
Spis10955,2,3,4,2,1,5
Spis10956.t3,186,90,499,227,204,228
Spis10957,0,0,0,0,0,0
Spis10958,0,0,0,0,0,0
Spis10959,5,0,4,4,0,1
Spis10960,0,0,0,0,1,0
Spis10961,1,1,1,2,1,0
Spis10962,1,2,0,0,1,1
Spis10963,0,0,0,0,0,0
Spis10964,31,20,93,52,29,37
Spis10965,0,0,0,0,0,0
Spis10966,31,19,36,35,20,19
Spis10967,61,11,58,35,10,24
Spis10968.t1,39,20,56,63,30,30
Spis10969,148,104,415,225,163,151
Spis10970,869,645,2864,948,575,1002
Spis10971,26,16,62,34,16,32
Spis10972,72,41,350,86,55,140
Spis10973,181,113,487,253,182,203
Spis10974,8,29,455,25,33,161
Spis10975,5,1,14,2,1,2
Spis10976,2,1,3,2,0,3
Spis10977,0,0,0,0,0,0
Spis10978,5,5,13,9,2,6
Spis10979,3,4,4,3,1,5
Spis10980,1,0,1,0,1,0
Spis10981,28,11,46,21,18,18
Spis10982,19,4,36,15,15,27
Spis10983,6,2,18,5,1,5
Spis10984,35,13,99,51,17,43
Spis10985,44,13,124,46,30,38
Spis10986,1,0,47,3,0,24
Spis10987,53,35,151,71,51,52
Spis10988,250,92,667,287,208,269
Spis10989,22,27,95,45,19,38
Spis10990,8,0,6,7,0,5
Spis10991,122,80,279,122,63,83
Spis10992,87,72,156,81,55,61
Spis10993,42,24,52,26,22,22
Spis10994,120,55,246,91,62,101
Spis10995,135,81,405,141,89,131
Spis10996,455,228,1277,580,310,441
Spis10997,258,153,701,377,161,208
Spis10998,142,134,562,358,190,201
Spis10999,1,0,0,5,1,1
Spis11000,81,38,198,71,57,86
Spis11001,0,0,0,0,0,1
Spis11002,26,8,38,34,21,23
Spis11003,5,0,11,7,1,6
Spis11004,10,5,16,14,12,10
Spis11005,2,0,0,0,0,0
Spis11006,234,105,610,235,155,185
Spis11007,27,11,48,42,16,24
Spis11008,103,50,293,117,55,100
Spis11009,1,0,0,1,0,0
Spis11010,0,1,1,0,0,1
Spis11011,208,129,477,301,204,211
Spis11012,782,342,2226,915,506,860
Spis11013,407,271,887,226,176,252
Spis11014,34,21,106,30,25,26
Spis11015,290,135,644,389,228,242
Spis11016,44,19,97,40,38,44
Spis11017,42,15,102,29,19,42
Spis11018,4,0,34,6,3,9
Spis11019,2,2,28,2,0,9
Spis11020,240,111,745,253,119,247
Spis11021,22,15,57,29,27,35
Spis11022,14,10,44,14,6,18
Spis11023,1,0,8,1,1,0
Spis11024.t1,205,127,633,264,170,225
Spis11025,65,53,160,72,57,63
Spis11026,79,41,204,80,52,66
Spis11027,17,13,53,12,12,27
Spis11028,22,19,41,20,21,9
Spis11029,187,64,326,151,91,117
Spis11030,41,30,66,58,36,48
Spis11031,248,48,208,167,170,107
Spis11032,375,89,485,346,195,187
Spis11033,107,38,131,114,70,55
Spis11034,18,18,22,7,14,7
Spis11035,21,8,36,18,11,10
Spis11036,28,11,83,41,24,35
Spis11037,57,50,148,61,24,62
Spis11038,57,23,169,65,44,63
Spis11039,235,109,769,220,155,188
Spis11040,1,1,2,4,2,1
Spis11041.t1,213,96,397,231,133,150
Spis11042,109,63,341,132,62,130
Spis11043,0,1,0,1,1,0
Spis11044,8,4,18,10,10,6
Spis11045,0,0,0,0,1,1
Spis11046,0,0,1,3,0,1
Spis11047,103,43,382,99,54,134
Spis11048,23,15,70,49,12,39
Spis11049,16,4,35,20,6,14
Spis11050,10,8,30,6,7,18
Spis11051,4,2,17,9,7,7
Spis11052,5,7,9,4,5,2
Spis11053,14,9,35,20,18,11
Spis11054.t1,114,59,225,205,93,113
Spis11055,49,21,133,42,33,30
Spis11056.t1,104,42,298,171,135,125
Spis11057,7,5,14,4,2,10
Spis11058,49,53,188,104,84,55
Spis11059,348,178,666,425,252,344
Spis11060,10,1,26,22,13,18
Spis11061,76,33,154,89,46,61
Spis11062,66,43,209,74,31,66
Spis11063,64,46,168,86,63,69
Spis11064,146,78,371,106,78,117
Spis11065,49,32,147,61,39,63
Spis11066,344,263,1086,234,137,173
Spis11067,8,6,28,14,4,10
Spis11068,16,7,35,23,20,17
Spis11069,71,41,254,86,58,94
Spis11070,6,6,31,14,4,5
Spis11071.t1,226,119,778,271,157,231
Spis11072,23,5,33,16,5,14
Spis11073,85,48,316,76,60,93
Spis11074,12,13,44,10,8,16
Spis11075,48,18,186,87,77,57
Spis11076,3,3,10,5,5,4
Spis11077,11,11,43,13,15,19
Spis11078,2,3,3,1,2,2
Spis11079,6,6,26,5,4,7
Spis11080,29,17,113,27,27,32
Spis11081,81,53,200,109,71,113
Spis11082,440,253,1216,463,311,368
Spis11083,0,3,5,1,0,0
Spis11084,34,13,43,28,10,18
Spis11085,0,0,0,0,0,0
Spis11086,1,3,2,3,4,0
Spis11087,0,0,0,0,1,0
Spis11088,173,126,402,249,145,179
Spis11089,1,0,0,0,0,0
Spis11090,0,0,0,0,0,0
Spis11091,40,18,71,49,36,45
Spis11092,1690,1408,4151,2081,1785,2350
Spis11093.t1,56,22,117,65,45,49
Spis11094,4,3,12,9,4,9
Spis11095,0,0,1,1,3,0
Spis11096,33,30,74,37,31,42
Spis11097,5,0,5,5,6,4
Spis11098,2,0,7,0,0,1
Spis11099,0,0,0,0,0,0
Spis11100,3,0,0,3,0,0
Spis11101,0,0,0,0,0,0
Spis11102,29,13,73,30,23,21
Spis11103.t1,63,49,198,69,72,61
Spis11104,1564,771,2453,876,491,661
Spis11105,356,184,1016,718,329,276
Spis11106,10,4,27,12,5,7
Spis11107,39,21,82,30,24,21
Spis11108,4,2,7,6,1,1
Spis11109,74,25,127,92,35,38
Spis11110,3,10,356,1,11,85
Spis11111,83,53,157,64,41,63
Spis11112,47,30,111,41,37,63
Spis11113,26,8,45,15,18,27
Spis11114,103,60,204,74,48,101
Spis11115,70,31,164,64,35,49
Spis11116,38,22,114,68,33,53
Spis11117,0,0,2,0,0,0
Spis11118,29,9,23,8,13,13
Spis11119,105,67,339,139,73,116
Spis11120,2,0,8,3,1,0
Spis11121,39,36,108,43,28,47
Spis11122.t1,1,1,7,0,1,3
Spis11123,59,49,186,85,51,56
Spis11124,262,198,881,341,220,297
Spis11125,14,16,44,21,12,13
Spis11126,24,16,43,29,12,19
Spis11127,95,59,247,91,60,102
Spis11128,7,4,17,0,1,2
Spis11129,86,39,297,94,49,89
Spis11130,60,18,92,60,17,35
Spis11131,11,6,58,5,13,32
Spis11132,34,13,110,61,32,36
Spis11133,45,25,82,49,23,43
Spis11134,50,44,115,31,20,57
Spis11135,6,7,14,10,13,2
Spis11136,405,195,961,577,308,340
Spis11137,300,174,405,264,229,168
Spis11138,34,11,78,42,27,18
Spis11139,85,45,153,59,43,47
Spis11140,2,0,20,2,1,4
Spis11141,54,53,126,58,54,57
Spis11142,74,46,227,96,78,112
Spis11143,26,20,67,33,18,37
Spis11144,24,15,72,22,8,26
Spis11145,80,44,265,82,58,73
Spis11146,101,33,244,91,78,81
Spis11147.t1,246,136,547,210,136,191
Spis11148,155,94,422,179,127,135
Spis11149,589,373,1858,855,503,537
Spis11150,178,96,610,191,141,185
Spis11151,49,22,130,42,30,42
Spis11152,89,52,270,92,61,95
Spis11153,27,20,80,34,21,23
Spis11154,8,4,12,3,4,2
Spis11155.t4,84,32,124,59,32,77
Spis11156.t3,222,75,584,258,135,201
Spis11157,63,30,178,92,67,68
Spis11158,88,35,117,37,62,42
Spis11159,96,68,275,113,74,97
Spis11161.t1,546,297,1116,728,580,395
Spis11162,3,1,38,6,7,3
Spis11163,74,63,182,95,73,105
Spis11164,0,0,0,0,0,0
Spis11165,14,14,45,24,5,19
Spis11166,43,30,139,46,25,44
Spis11167,35,23,157,67,41,55
